"panel","level","task","nt","stim","idx","trial","Oz"
"A","trial","RL","SE","Pre-Stim",3,86,0.659434496903438
"A","trial","RL","SE","Pre-Stim",3,87,3.18390534509483
"A","trial","RL","SE","Pre-Stim",3,88,-0.760690319304646
"A","trial","RL","SE","Pre-Stim",3,89,-2.37764443601586
"A","trial","RL","SE","Pre-Stim",3,90,2.39675560353883
"A","trial","RL","SE","Pre-Stim",3,91,3.06384166980887
"A","trial","RL","SE","Pre-Stim",3,92,-2.23641732839683
"A","trial","RL","SE","Pre-Stim",3,93,1.06112428493943
"A","trial","RL","SE","Pre-Stim",3,94,3.99090664819887
"A","trial","RL","SE","Pre-Stim",3,95,2.63754501300034
"A","trial","RL","SE","Pre-Stim",3,96,-7.30065482750373
"A","trial","RL","SE","Pre-Stim",3,97,-0.500635502350167
"A","trial","RL","SE","Pre-Stim",3,98,0.724019437680045
"A","trial","RL","SE","Pre-Stim",3,99,3.6155400047626
"A","trial","RL","SE","Pre-Stim",3,100,9.20790335464462
"A","trial","RL","SE","Pre-Stim",3,101,5.12018115564049
"A","trial","RL","SE","Pre-Stim",3,102,-4.51479583776893
"A","trial","RL","SE","Pre-Stim",3,103,5.75348414810281
"A","trial","RL","SE","Pre-Stim",3,104,2.19337566016725
"A","trial","RL","SE","Pre-Stim",3,105,-1.11621949562573
"A","trial","RL","DA","Pre-Stim",3,1,-7.14095942008259
"A","trial","RL","DA","Pre-Stim",3,2,-8.0823718701896
"A","trial","RL","DA","Pre-Stim",3,3,-6.58621423176699
"A","trial","RL","DA","Pre-Stim",3,4,-6.905408562862
"A","trial","RL","DA","Pre-Stim",3,5,-5.56208656504872
"A","trial","RL","DA","Pre-Stim",3,6,-7.18401744540231
"A","trial","RL","DA","Pre-Stim",3,7,-5.86767727392101
"A","trial","RL","DA","Pre-Stim",3,8,-8.8679671972375
"A","trial","RL","DA","Pre-Stim",3,9,-7.54302046471728
"A","trial","RL","DA","Pre-Stim",3,10,-7.43906318519456
"A","trial","RL","DA","Pre-Stim",3,11,-8.39924461786613
"A","trial","RL","DA","Pre-Stim",3,12,-8.5130065409834
"A","trial","RL","DA","Pre-Stim",3,13,-7.52713470323378
"A","trial","RL","DA","Pre-Stim",3,14,-6.20065072407972
"A","trial","RL","DA","Pre-Stim",3,15,-7.17791939716526
"A","trial","RL","DA","Pre-Stim",3,16,-9.15414953877442
"A","trial","RL","DA","Pre-Stim",3,17,-8.39861086073814
"A","trial","RL","DA","Pre-Stim",3,18,-8.15022946532899
