"panel","level","task","nt","stim","idx","trial","condition","Oz"
"A","trial","RL","DA","Post-Stim",3,83,NA,3.85534493665668
"A","trial","RL","DA","Post-Stim",3,84,NA,7.74653093227712
"A","trial","RL","DA","Post-Stim",3,85,NA,2.19731292972775
"A","trial","RL","DA","Post-Stim",3,86,NA,8.81618404072337
"A","trial","RL","DA","Post-Stim",3,87,NA,2.20092905298297
"A","trial","RL","DA","Post-Stim",3,88,NA,5.75249050619201
"A","trial","RL","DA","Post-Stim",3,89,NA,5.98348777077866
"A","trial","RL","DA","Post-Stim",3,90,NA,6.65576429522598
"A","trial","RL","DA","Post-Stim",3,91,NA,5.43581685343873
"A","trial","RL","DA","Post-Stim",3,92,NA,8.74334642323068
"A","trial","RL","DA","Post-Stim",3,93,NA,6.95763604196326
"A","trial","RL","DA","Post-Stim",3,94,NA,5.32854042121087
"A","trial","RL","DA","Post-Stim",3,95,NA,3.9964367440993
"A","trial","RL","DA","Post-Stim",3,96,NA,5.46863453156908
"A","trial","RL","DA","Post-Stim",3,97,NA,7.42357802626932
"A","trial","RL","DA","Post-Stim",3,98,NA,3.4246099462208
"A","trial","RL","DA","Post-Stim",3,99,NA,8.16786183426196
"A","trial","RL","DA","Post-Stim",3,100,NA,3.41950558528289
"A","trial","RL","DA","Post-Stim",3,101,NA,4.58066946852836
"A","trial","RL","DA","Post-Stim",3,102,NA,5.28252209064275
"A","trial","RL","DA","Post-Stim",3,103,NA,6.91452198072091
"A","trial","RL","DA","Post-Stim",3,104,NA,3.59530159677569
"A","trial","RL","DA","Post-Stim",3,105,NA,7.31994352625952
"A","trial","RL","5-HT","Post-Stim",3,1,NA,-2.49793183567837
"A","trial","RL","5-HT","Post-Stim",3,2,NA,-6.29237874471304
"A","trial","RL","5-HT","Post-Stim",3,3,NA,8.1003403576534
"A","trial","RL","5-HT","Post-Stim",3,4,NA,0.0854047390971487
"A","trial","RL","5-HT","Post-Stim",3,5,NA,-3.45621765060797
"A","trial","RL","5-HT","Post-Stim",3,6,NA,-4.55804909861197
"A","trial","RL","5-HT","Post-Stim",3,7,NA,2.75290093256845
"A","trial","RL","5-HT","Post-Stim",3,8,NA,-6.221487562444
"A","trial","RL","5-HT","Post-Stim",3,9,NA,-1.60701430836532
"A","trial","RL","5-HT","Post-Stim",3,10,NA,-3.91640406537537
"A","trial","RL","5-HT","Post-Stim",3,11,NA,4.17327386473654
"A","trial","RL","5-HT","Post-Stim",3,12,NA,-0.385045614922637
"A","trial","RL","5-HT","Post-Stim",3,13,NA,-2.67188346820727
"A","trial","RL","5-HT","Post-Stim",3,14,NA,-1.11137933116198
"A","trial","RL","5-HT","Post-Stim",3,15,NA,-2.44796167939463
"A","trial","RL","5-HT","Post-Stim",3,16,NA,1.20228083205689
"A","trial","RL","5-HT","Post-Stim",3,17,NA,-2.59738084342583
"A","trial","RL","5-HT","Post-Stim",3,18,NA,-5.67673018673281
"A","trial","RL","5-HT","Post-Stim",3,20,NA,-2.22833423659706
"A","trial","RL","5-HT","Post-Stim",3,21,NA,-5.35828584004553
"A","trial","RL","5-HT","Post-Stim",3,22,NA,-3.8503135383886
"A","trial","RL","5-HT","Post-Stim",3,23,NA,-0.711420902607019
"A","trial","RL","5-HT","Post-Stim",3,24,NA,2.19780560152433
"A","trial","RL","5-HT","Post-Stim",3,25,NA,-1.13355670750863
"A","trial","RL","5-HT","Post-Stim",3,26,NA,1.29439618325221
"A","trial","RL","5-HT","Post-Stim",3,27,NA,-2.47000687200332
"A","trial","RL","5-HT","Post-Stim",3,28,NA,-2.18776079916843
"A","trial","RL","5-HT","Post-Stim",3,29,NA,3.48618200867988
