"panel","level","task","nt","stim","idx","trial","condition","Oz"
"A","trial","RL","5-HT","Pre-Stim",3,74,NA,-5.67730679607869
"A","trial","RL","5-HT","Pre-Stim",3,75,NA,2.78032351010074
"A","trial","RL","5-HT","Pre-Stim",3,76,NA,3.88389127918592
"A","trial","RL","5-HT","Pre-Stim",3,77,NA,-1.78542881778523
"A","trial","RL","5-HT","Pre-Stim",3,78,NA,18.5919670539361
"A","trial","RL","5-HT","Pre-Stim",3,79,NA,3.44263548155232
"A","trial","RL","5-HT","Pre-Stim",3,80,NA,-0.399008269846136
"A","trial","RL","5-HT","Pre-Stim",3,81,NA,1.50632497859994
"A","trial","RL","5-HT","Pre-Stim",3,82,NA,1.14487735346987
"A","trial","RL","5-HT","Pre-Stim",3,83,NA,-0.308116777114427
"A","trial","RL","5-HT","Pre-Stim",3,84,NA,-3.94318896323514
"A","trial","RL","5-HT","Pre-Stim",3,85,NA,0.882814851231324
"A","trial","RL","5-HT","Pre-Stim",3,86,NA,0.659434496903438
"A","trial","RL","5-HT","Pre-Stim",3,87,NA,3.18390534509483
"A","trial","RL","5-HT","Pre-Stim",3,88,NA,-0.760690319304646
"A","trial","RL","5-HT","Pre-Stim",3,89,NA,-2.37764443601586
"A","trial","RL","5-HT","Pre-Stim",3,90,NA,2.39675560353883
"A","trial","RL","5-HT","Pre-Stim",3,91,NA,3.06384166980887
"A","trial","RL","5-HT","Pre-Stim",3,92,NA,-2.23641732839683
"A","trial","RL","5-HT","Pre-Stim",3,93,NA,1.06112428493943
"A","trial","RL","5-HT","Pre-Stim",3,94,NA,3.99090664819887
"A","trial","RL","5-HT","Pre-Stim",3,95,NA,2.63754501300034
"A","trial","RL","5-HT","Pre-Stim",3,96,NA,-7.30065482750373
"A","trial","RL","5-HT","Pre-Stim",3,97,NA,-0.500635502350167
"A","trial","RL","5-HT","Pre-Stim",3,98,NA,0.724019437680045
"A","trial","RL","5-HT","Pre-Stim",3,99,NA,3.6155400047626
"A","trial","RL","5-HT","Pre-Stim",3,100,NA,9.20790335464462
"A","trial","RL","5-HT","Pre-Stim",3,101,NA,5.12018115564049
"A","trial","RL","5-HT","Pre-Stim",3,102,NA,-4.51479583776893
"A","trial","RL","5-HT","Pre-Stim",3,103,NA,5.75348414810281
"A","trial","RL","5-HT","Pre-Stim",3,104,NA,2.19337566016725
"A","trial","RL","5-HT","Pre-Stim",3,105,NA,-1.11621949562573
"A","trial","RL","DA","Pre-Stim",3,1,NA,-7.14095942008259
"A","trial","RL","DA","Pre-Stim",3,2,NA,-8.0823718701896
"A","trial","RL","DA","Pre-Stim",3,3,NA,-6.58621423176699
"A","trial","RL","DA","Pre-Stim",3,4,NA,-6.905408562862
"A","trial","RL","DA","Pre-Stim",3,5,NA,-5.56208656504872
"A","trial","RL","DA","Pre-Stim",3,6,NA,-7.18401744540231
"A","trial","RL","DA","Pre-Stim",3,7,NA,-5.86767727392101
"A","trial","RL","DA","Pre-Stim",3,8,NA,-8.8679671972375
"A","trial","RL","DA","Pre-Stim",3,9,NA,-7.54302046471728
"A","trial","RL","DA","Pre-Stim",3,10,NA,-7.43906318519456
"A","trial","RL","DA","Pre-Stim",3,11,NA,-8.39924461786613
"A","trial","RL","DA","Pre-Stim",3,12,NA,-8.5130065409834
"A","trial","RL","DA","Pre-Stim",3,13,NA,-7.52713470323378
"A","trial","RL","DA","Pre-Stim",3,14,NA,-6.20065072407972
"A","trial","RL","DA","Pre-Stim",3,15,NA,-7.17791939716526
"A","trial","RL","DA","Pre-Stim",3,16,NA,-9.15414953877442
"A","trial","RL","DA","Pre-Stim",3,17,NA,-8.39861086073814
"A","trial","RL","DA","Pre-Stim",3,18,NA,-8.15022946532899
"A","trial","RL","DA","Pre-Stim",3,19,NA,-7.81559440137909
"A","trial","RL","DA","Pre-Stim",3,20,NA,-8.00459228152552
"A","trial","RL","DA","Pre-Stim",3,21,NA,-6.91834238083496
"A","trial","RL","DA","Pre-Stim",3,22,NA,-8.87108194116005
"A","trial","RL","DA","Pre-Stim",3,23,NA,-8.22028275998131
"A","trial","RL","DA","Pre-Stim",3,24,NA,-7.83609598492051
"A","trial","RL","DA","Pre-Stim",3,25,NA,-7.45295896403217
"A","trial","RL","DA","Pre-Stim",3,26,NA,-8.44893973690343
"A","trial","RL","DA","Pre-Stim",3,27,NA,-7.77060122242594
"A","trial","RL","DA","Pre-Stim",3,28,NA,-8.77461728610463
"A","trial","RL","DA","Pre-Stim",3,29,NA,-6.78609580962876
"A","trial","RL","DA","Pre-Stim",3,30,NA,-6.25321006812896
"A","trial","RL","DA","Pre-Stim",3,31,NA,-8.44091558162345
"A","trial","RL","DA","Pre-Stim",3,32,NA,-7.91687199120554
"A","trial","RL","DA","Pre-Stim",3,33,NA,-5.29685812144141
"A","trial","RL","DA","Pre-Stim",3,34,NA,-7.94440884686752
"A","trial","RL","DA","Pre-Stim",3,35,NA,-6.99010603447612
"A","trial","RL","DA","Pre-Stim",3,36,NA,-6.1652631901907
"A","trial","RL","DA","Pre-Stim",3,37,NA,-6.20889247928586
"A","trial","RL","DA","Pre-Stim",3,38,NA,-7.32264400861645
